id_region,num_buildings,labeled_buildings,percentage_labeled
25000069,1320984,27726,2.0988899184244474
25000089,912737,22307,2.443967977632111
19100007,22491,2193,9.750566893424036
19100008,128878,8162,6.333121246450131
82600056,12089,5591,46.24865580279593
61600020,214196,73587,34.35498328633588
61600021,184117,78224,42.48602790616836
61600019,198358,83830,42.261970780104654
82600054,77533,70351,90.73684753588795
61600017,259864,131240,50.503340208724566
61600016,206029,31845,15.456561940309374
27600217,56764,8753,15.419984497216547
25000090,968679,35887,3.704736037428292
75200020,31246,5263,16.8437560007681
47000002,17836,2617,14.672572325633551
70500010,46193,7790,16.86402701708051
72400018,93302,18457,19.781998242267047
25000091,1167784,38750,3.3182506353914767
38000012,188656,78630,41.67903485709439
61600031,84456,23400,27.706734867860188
52800019,172672,90916,52.652427724240184
52800023,335118,219740,65.57093322352127
34800003,83214,17653,21.213978417093276
19100010,18064,2548,14.105403011514614
27600218,46941,12413,26.44383374874843
25000093,920277,15510,1.685362124664639
38000080,351394,76681,21.821943459478536
27600224,57602,10647,18.483733203708205
52800029,254110,140530,55.30282161268742
27600227,60589,13548,22.360494479195893
38000019,132800,8818,6.640060240963855
34800013,110727,7358,6.645172360851463
52800025,213771,125619,58.76334956565671
34800020,94310,13993,14.837238893012405
34800007,162273,34516,21.270328397207177
34800019,101865,13663,13.41285034113778
37200003,166326,111403,66.97870447194065
61600024,156185,89389,57.23276883183404
61600023,176323,96555,54.760297862445626
34800009,353580,79912,22.60082583856553
4000021,27508,3781,13.745092336774755
4000006,220535,76238,34.56956945609541
4000010,138568,36390,26.261474510709544
4000009,141279,35983,25.469461137182453
4000003,123279,17717,14.371466348688747
4000007,85469,10332,12.08859352513777
4000011,112295,17305,15.410303219199431
4000002,175551,30758,17.520834401399025
4000014,137451,19970,14.528813904591454
19100009,27206,10135,37.25281187973241
4000004,203077,35428,17.44559945242445
4000008,195854,24610,12.565482451213658
4000005,246870,67216,27.227285615911207
82600157,40223,24714,61.442458295005345
4000018,67110,9268,13.810162419907615
82600141,21566,14604,67.71770379300752
82600155,59131,27320,46.20249953493092
27600184,51921,27024,52.048304154388404
10000001,1725,385,22.318840579710145
75600016,39007,1744,4.4709923859820035
37200004,323722,236411,73.02901872594386
4000025,75973,8919,11.739696997617575
10000002,18873,5429,28.76596195623377
10000003,2790,1300,46.59498207885305
10000004,13559,2695,19.876097057305113
4000029,55239,7200,13.034269266279258
82600164,134020,79375,59.22623489031488
10000005,17188,9495,55.24202932278334
38000010,73613,13219,17.95742599812533
10000006,54344,31887,58.67621080524069
4000034,94788,12088,12.75266911423387
10000017,5870,2258,38.46678023850085
10000007,10328,619,5.993415956622774
5600026,216184,96363,44.57452910483662
4000035,144208,52434,36.359980028847225
82600010,115871,55478,47.87910693788782
75600024,144666,10877,7.518698242849045
5600021,283623,145437,51.27828138056505
5600005,385828,171804,44.528650072052834
27600303,108639,9854,9.070407496387118
20300004,126718,64998,51.29342319165391
75600011,169677,25384,14.960189065106055
75600005,202754,25314,12.4850804423094
82600059,55417,26960,48.64933143259289
5600022,249255,15171,6.086537882891015
20300001,205079,89062,43.428142325640366
82600166,82364,42992,52.19756204166869
27600010,98904,13041,13.185513224945403
37200006,229112,159353,69.5524459652921
27600322,68789,8127,11.8143889284624
27600007,62995,16632,26.402095404397173
27600003,96429,29743,30.844455506123676
5600001,460583,239382,51.97369420929561
38000003,56643,5164,9.116748759776142
27600005,143927,15362,10.673466410055097
27600008,117480,26225,22.32294858699353
27600332,72523,12228,16.86085793472416
38000008,128734,15879,12.334736743983719
27600329,152874,28406,18.581315331580257
38000015,41835,2841,6.790964503406238
70300006,311001,30428,9.783891370124213
38000014,67628,1966,2.907079907730526
38000005,178061,7675,4.310320620461527
27600345,124604,11770,9.44592468941607
38000022,54019,5137,9.509616986615821
38000035,111173,6887,6.194849468845852
38000006,176732,16471,9.319760994047483
38000004,321168,17581,5.474082100333781
38000021,358567,34524,9.628326086895894
38000017,381296,44477,11.664690948764214
37200007,329763,184983,56.09574148706798
38000016,254284,34068,13.397618410910637
38000023,235693,100904,42.81162359510041
38000024,383441,58291,15.202078025041663
38000033,117538,11444,9.736425666592933
38000029,75250,7939,10.550166112956811
38000027,77148,13054,16.92072380359828
20300014,407577,146323,35.900700971840905
38000038,185040,14084,7.611327280587981
52800031,182991,96187,52.56378729008531
27600387,13249,3097,23.375349082949658
38000030,197003,11258,5.7146337873027315
82600087,63454,26067,41.080152551454596
38000034,118712,9790,8.246849518161602
38000025,426812,113797,26.6620901005595
38000032,62989,5854,9.293686199177634
38000028,292683,52688,18.001728832901126
82600174,19466,4649,23.882667214630636
27600014,98287,43960,44.72615910547682
19100004,7627,823,10.790612298413532
52800030,702551,399156,56.81523476587464
19100003,4804,1384,28.80932556203164
38000040,180271,128582,71.32705759661843
27600248,83745,6407,7.650606006328736
27600249,80454,5694,7.077336117533001
52800010,98290,51928,52.831417234713605
82600096,40936,9622,23.50498338870432
27600040,76108,26541,34.87281231933569
27600043,66033,9130,13.8264201232717
27600185,108950,18217,16.720513997246446
27600122,64529,40272,62.409149374699744
38000041,213177,20126,9.440980968866247
38000053,76985,14406,18.71273624732091
38000042,144749,9558,6.603154425937312
38000054,84977,15955,18.77566871035692
52800032,474585,256343,54.014138668520914
38000052,180434,14088,7.80784109425053
38000039,370279,22592,6.101345201861299
72400035,60960,22387,36.724081364829395
27600053,102712,19580,19.063011137939093
82600175,110939,56945,51.33001018577777
72400010,52460,2698,5.142966069386199
38000055,168040,17727,10.549273982385147
72400040,22741,7408,32.5755243832725
38000056,142972,15036,10.516744537391936
38000057,64738,6214,9.598690104729835
20300003,304795,150380,49.33807969290835
72400041,20537,4075,19.842235964357013
38000084,234608,57116,24.34529086817159
38000031,135304,17995,13.299680718973569
64200035,66111,6695,10.12690777631559
72400037,30083,14639,48.662035036399296
72400039,67086,33080,49.309841099484245
19100012,17284,2501,14.470030085628327
72400036,242008,36341,15.016445737330997
38000047,249000,23717,9.524899598393574
27600123,85893,4668,5.434668715727708
27600017,81355,10690,13.139942228504703
27600018,80530,21865,27.15137215944369
19100001,22993,3136,13.638933588483452
19100013,16675,2365,14.182908545727136
30000005,56022,1247,2.225911249152119
19100017,23488,1148,4.887602179836512
34800006,79222,9263,11.692459165383355
27600057,96207,4093,4.254368185267184
38000059,12750,1960,15.372549019607842
25000084,304069,3262,1.0727828223199338
27600125,126113,40052,31.75881947142642
19100018,40459,7945,19.63716354828345
82600046,3031,803,26.49290663147476
25000081,293941,5391,1.8340415253401192
27600298,14685,2927,19.93190330268982
70500006,8769,1545,17.618884707492303
72400044,35941,11736,32.65351548370941
82600117,30717,5455,17.758895725494025
19100019,29798,1276,4.282166588361635
38000020,108953,31462,28.87667159233798
72400045,52704,23473,44.53741651487553
27600301,19853,2872,14.466327507177756
25000085,483861,11194,2.3134743242377462
25000011,435953,28491,6.5353375249166765
72400048,45734,18181,39.75379367647702
